tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
48071,Permitted Site,Tree(s) ::,,237,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44992,Permitted Site,Tree(s) ::,,81,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
35702,Permitted Site,Liriodendron tulipifera :: Tulip Tree,,15,Sidewalk: Curb side : Cutout,Tree,Private,,1998-04-10 12:00:00.000000 UTC,,,Permit Number 38993,,,,,
45016,Permitted Site,Tree(s) ::,,88,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44911,Permitted Site,Tree(s) ::,,162,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44937,Permitted Site,Tree(s) ::,,170,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
46729,Permitted Site,Quercus agrifolia :: Coast Live Oak,,5,Sidewalk: Curb side : Cutout,Tree,Private,,2002-04-24 12:00:00.000000 UTC,,,Permit Number 44843,,,,,
36845,Permitted Site,Melaleuca linariifolia :: Flaxleaf Paperbark,,5,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-26 12:00:00.000000 UTC,,,Permit Number 39538,,,,,
48094,Permitted Site,Tree(s) ::,,218,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44958,Permitted Site,Tree(s) ::,,82,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
35183,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-10 12:00:00.000000 UTC,,,Permit Number 38712,,,,,
44924,Permitted Site,Tree(s) ::,,197,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45896,Permitted Site,Tree(s) ::,,27,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48053,Permitted Site,Tree(s) ::,,229,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48073,Permitted Site,Tree(s) ::,,239,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
35200,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,3,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-10 12:00:00.000000 UTC,,,Permit Number 38712,,,,,
44544,Permitted Site,Tree(s) ::,,25,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
33088,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,,5,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-05 12:00:00.000000 UTC,,,Permit Number 37336,,,,,
44995,Permitted Site,Tree(s) ::,,107,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44639,Permitted Site,Tree(s) ::,,157,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
44542,Permitted Site,Tree(s) ::,,27,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
45946,Permitted Site,Tree(s) ::,,143,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44599,Permitted Site,Tree(s) ::,,127,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
44578,Permitted Site,Tree(s) ::,,142,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
34121,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,2,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-05 12:00:00.000000 UTC,,,Permit Number 37980,,,,,
45002,Permitted Site,Tree(s) ::,,114,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
34134,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,5,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-05 12:00:00.000000 UTC,,,Permit Number 37986,,,,,
44973,Permitted Site,Tree(s) ::,,45,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
60252,Permitted Site,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1982-08-23 12:00:00.000000 UTC,,,Permit Number 19804,,,,,
36633,Permitted Site,Robinia x ambigua :: Locust,,22,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-20 12:00:00.000000 UTC,,,Permit Number 39461,,,,,
